Date,Day,Holiday
01-Jan,Sunday,New Year's Day 
12-Jan,Thursday,Swami Vivekanand Jayanti 
13-Jan,Friday,Lohri
14-Jan,Saturday,Makar Sankranti/ Magha Bihu/ Pongal 
26-Jan,Thursday,Republic Day (G)/ Basant Panchami 
05-Feb,Sunday,Hazarat Ali's Birthday (R)/Guru Ravidas's Birthday 
15-Feb,Wednesday,Swami Dayananda Saraswati Jayanti 
18-Feb,Saturday,Maha Shivratri 
19-Feb,Saturday,Shivaji Yatra (Restricted Holiday)
07-Mar,Tuesday,Doli Yatra (R)/ Holika Dahan 
08-Mar,Wed,Holi 
18-Mar,Friday,Holi 
22-Mar,Saturday,Chaitra Sukladi/ Gudi Padava/ Ugadi/ Cheti Chand 
04-Apr,Tue,Mahavir Jayanti 
07-Apr,Friday,Good Friday 
14-Apr,Friday,Ambedkar Jayanti
April,Friday,Jamat-Ul-Vida
22-Apr,Saturday,Eid-ul-Fitr
29-Apr,Friday,Jamat-Ul-Vida 
09-May,Tuesday,Guru Rabindranath's Birthday 
20-Jun,Tuesday,Rath Yatra 
29-Jun,Thursday,Eid-ul-Adha (Bakrid) 
29-Jul,Muharram,Muharram 
15-Aug,Tue,Independence Day 
20-Aug,Sunday,Vinayak Chaturthi
30-Aug,Wednesday,Rakshabandhan 
18-Aug,Thursday,Janmashtami (Smarta) 
,,
19-Aug,Friday,Janmashtami 
31-Aug,Wednesday,Vinayaka Chaturthi/ Ganesh Chaturthi 
06-Sep,Wednesday,Janmashtami 
19-Sep,Tuesday,Ganesh Chaturthi 
28-Sep,Thursday,Milad-Un-Nabi 
02-Oct,Monday,Mahatma Gandhi's Birthday 
23-Oct,Monday,Mahanavmi 
24-Oct,Tuesday,Dusshera
28-Oct,Saturday,Maharishi Valmiki Jayanti 
01-Nov,Wednesday,Karva Chauth (R)/ Kannada Rajyotsav
12-Nov,Sunday,Diwali 
13-Nov,Monday,Govardhan Puja 
14-Nov,Tuesday,Bhai Dooj 
19-Nov,Sunday,Chhath Puja 
27-Nov,Monday,Guru Nanak Jayanti
24-Dec,Sunday,
25-Dec,Monday,Christmas Day 
29-Dec,Thursday,Guru Gobind Singh's Birthday 
