List of Public Holidays in India 2023ÿ,,
Date,Day,Holiday
1-Jan,Sunday,New Year's Day (R)
12-Jan,Thursday,Swami Vivekanand Jayanti (G)
13-Jan,Friday,Lohriÿ (R)
14-Jan,Saturday,Makar Sankranti/ Magha Bihu/ Pongal (R)
26-Jan,Thursday,Republic Day (G)/ Basant Panchami (R)
5-Feb,Sunday,Hazarat Ali's Birthday (R)/Guru Ravidas's Birthday (R)
15-Feb,Wednesday,Swami Dayananda Saraswati Jayanti (R)
18-Feb,Saturday,Maha Shivratri (G)
19-Feb,Saturday,Shivaji Yatra (Restricted Holiday)
7-Mar,Tuesday,Doli Yatra (R)/ Holika Dahan (R)
8-Mar,Wed,Holi (R)
18-Mar,Friday,Holi (G)
22-Mar,Saturday,Chaitra Sukladi/ Gudi Padava/ Ugadi/ Cheti Chand (R)
4-Apr,Tue,Mahavir Jayanti (G)
7-Apr,Friday,Good Friday (G)
14-Apr,Friday,Ambedkar Jayanti(G)
April,Friday,Jamat-Ul-Vida(R)
22-Apr,Saturday,Eid-ul-Fitr
29-Apr,Friday,Jamat-Ul-Vida (R)
9-May,Tuesday,Guru Rabindranath's Birthday (R)
20-Jun,Tuesday,Rath Yatra (R)
29-Jun,Thursday,Eid-ul-Adha (Bakrid) (G)
29-Jul,Muharram,Muharram (G)
15-Aug,Tue,Independence Day (G)
20-Aug,Sunday,Vinayak Chaturthi
30-Aug,Wednesday,Rakshabandhan (R)
18-Aug,Thursday,Janmashtami (Smarta) (R)
,,
19-Aug,Friday,Janmashtami (G)
31-Aug,Wednesday,Vinayaka Chaturthi/ Ganesh Chaturthi (R)
6-Sep,Wednesday,Janmashtami (R)
19-Sep,Tuesday,Ganesh Chaturthi (R)
28-Sep,Thursday,Milad-Un-Nabi (R)
2-Oct,Monday,Mahatma Gandhi's Birthday (G)
23-Oct,Monday,Mahanavmi (R)
24-Oct,Tuesday,Dusshera(R)
28-Oct,Saturday,Maharishi Valmiki Jayanti (R)
1-Nov,Wednesday,Karva Chauth (R)/ Kannada Rajyotsav(G)
12-Nov,Sunday,Diwali (G)
13-Nov,Monday,Govardhan Puja (G)
14-Nov,Tuesday,Bhai Dooj (G)
19-Nov,Sunday,Chhath Puja (G)
27-Nov,Monday,Guru Nanak Jayanti
24-Dec,Sunday,Christmas Eve (R)
25-Dec,Monday,Christmas Day (G)
29-Dec,Thursday,Guru Gobind Singh's Birthday (R)
